2025-06-04 18:17:59,305 - CPU Usage: 62.5% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,356 - CPU Usage: 8.5% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,453 - CPU Usage: 18.1% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,492 - CPU Usage: 23.1% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,532 - CPU Usage: 26.5% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,585 - CPU Usage: 34.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,623 - CPU Usage: 47.2% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,668 - CPU Usage: 22.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,725 - CPU Usage: 61.1% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,789 - CPU Usage: 64.6% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,838 - CPU Usage: 63.9% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,890 - CPU Usage: 29.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,941 - CPU Usage: 35.3% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,990 - CPU Usage: 33.3% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:18:00,043 - CPU Usage: 51.0% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:18:00,106 - CPU Usage: 41.7% | RAM Usage: 78.9% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:18:00,158 - CPU Usage: 27.0% | RAM Usage: 79.0% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:18:00,213 - CPU Usage: 27.8% | RAM Usage: 79.0% | GPU Load: 0% | GPU Memory: 0MB
